Country_order,Total_cases,New_cases,Total_Detaths,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Test_1M_pop,Population
Montserrat,452,,2,,221,,229,,90436,400,10135,2027811,4998
Falkland Islands,197,,,,,,,,53737,,8632,2354610,3666
Macao,82,,,,82,,0,,123,,5375,8075,665602
Vatican City,29,,,,29,,0,,36025,,,,805
Marshall Islands,17,,,,14,,3,,284,,,,59924
Western Sahara,10,,1,,9,,0,,16,2,,,624319
MS Zaandam,9,,2,,7,,0,,,,,,
Niue,9,,,,8,,1,,5468,,,,1646
Micronesia,7,,,,1,,6,,60,,,,117239
Nauru,5,,,,3,,2,,457,,,,10949
Saint Helena,2,,,,2,,0,,327,,,,6110
China,218945,374,5153,12,202277,1602,11515,659,152,4,160000000,111163,1439323776
